DF,/home/lele7x/results9/rule-extraction/granular-computing/Crashes/intrees/models_cache//model_34784e33f967d46f1bc67074a2e17659e984e3be3614d07d7e8220de031a3ac8.jld2,80.0,90.0,10.0,NaN,NaN,NaN,NaN,619.0
ADT,/home/lele7x/results9/rule-extraction/granular-computing/Crashes/intrees/models_cache//model_34784e33f967d46f1bc67074a2e17659e984e3be3614d07d7e8220de031a3ac8.jld2,46.1,73.05,26.95,7.19,36.43,0.4141613095238095,1.60631243932868,6.19
DL,/home/lele7x/results9/rule-extraction/granular-computing/Crashes/intrees/models_cache//model_34784e33f967d46f1bc67074a2e17659e984e3be3614d07d7e8220de031a3ac8.jld2,70.0,85.0,15.0,6.0,29.0,0.2,1.543542708224871,NaN
DF,/home/lele7x/results9/rule-extraction/granular-computing/Crashes/intrees/models_cache//model_cea74aa2c005475696d44f08f130a91f89d24947e62e49fd1bd4d11f68afd71b.jld2,70.0,85.0,15.0,NaN,NaN,NaN,NaN,585.0
ADT,/home/lele7x/results9/rule-extraction/granular-computing/Crashes/intrees/models_cache//model_cea74aa2c005475696d44f08f130a91f89d24947e62e49fd1bd4d11f68afd71b.jld2,41.6,70.8,29.2,6.85,33.25,0.4074892857142858,1.5865737084177163,5.85
DL,/home/lele7x/results9/rule-extraction/granular-computing/Crashes/intrees/models_cache//model_cea74aa2c005475696d44f08f130a91f89d24947e62e49fd1bd4d11f68afd71b.jld2,50.0,75.0,25.0,7.0,30.0,0.2416666666666667,1.6002274866192192,NaN
DF,/home/lele7x/results9/rule-extraction/granular-computing/Crashes/intrees/models_cache//model_91a12e32caa10eb58dce0c8e610d976c92a003c1c4507b89493eafcbfbc90a73.jld2,80.0,90.0,10.0,NaN,NaN,NaN,NaN,608.0
ADT,/home/lele7x/results9/rule-extraction/granular-computing/Crashes/intrees/models_cache//model_91a12e32caa10eb58dce0c8e610d976c92a003c1c4507b89493eafcbfbc90a73.jld2,50.1,75.05,24.95,7.08,35.28,0.3955345238095238,1.5997016952970144,6.08
DL,/home/lele7x/results9/rule-extraction/granular-computing/Crashes/intrees/models_cache//model_91a12e32caa10eb58dce0c8e610d976c92a003c1c4507b89493eafcbfbc90a73.jld2,50.0,75.0,25.0,7.0,26.0,0.225,1.6002274866192192,NaN
DF,/home/lele7x/results9/rule-extraction/granular-computing/Crashes/intrees/models_cache//model_d0b91211c2cc6920c541d8f50c0cd21d4d3cfe4f3f0dc1b35cf0d06874d4ad89.jld2,70.0,85.0,15.0,NaN,NaN,NaN,NaN,625.0
ADT,/home/lele7x/results9/rule-extraction/granular-computing/Crashes/intrees/models_cache//model_d0b91211c2cc6920c541d8f50c0cd21d4d3cfe4f3f0dc1b35cf0d06874d4ad89.jld2,42.1,71.05,28.95,7.25,38.35,0.43448035714285715,1.608654875513636,6.25
DL,/home/lele7x/results9/rule-extraction/granular-computing/Crashes/intrees/models_cache//model_d0b91211c2cc6920c541d8f50c0cd21d4d3cfe4f3f0dc1b35cf0d06874d4ad89.jld2,70.0,85.0,15.0,6.0,21.0,0.29000000000000004,1.543542708224871,NaN
DF,/home/lele7x/results9/rule-extraction/granular-computing/Crashes/intrees/models_cache//model_30f1bf2bd9e529d5d140cdd7025e2e1e2bc3ced65253ec8f1608008a1812384a.jld2,60.00000000000001,80.0,20.0,NaN,NaN,NaN,NaN,572.0
ADT,/home/lele7x/results9/rule-extraction/granular-computing/Crashes/intrees/models_cache//model_30f1bf2bd9e529d5d140cdd7025e2e1e2bc3ced65253ec8f1608008a1812384a.jld2,41.5,70.75,29.25,6.72,31.88,0.41037738095238097,1.5785356969336326,5.72
DL,/home/lele7x/results9/rule-extraction/granular-computing/Crashes/intrees/models_cache//model_30f1bf2bd9e529d5d140cdd7025e2e1e2bc3ced65253ec8f1608008a1812384a.jld2,39.99999999999999,70.0,30.0,6.0,23.0,0.41000000000000003,1.543542708224871,NaN
DF,/home/lele7x/results9/rule-extraction/granular-computing/Crashes/intrees/models_cache//model_1fa955a225eb0dbcfa407bea3d4730da722b9697998ff4b27271888cff3ebd3a.jld2,70.0,85.0,15.0,NaN,NaN,NaN,NaN,615.0
ADT,/home/lele7x/results9/rule-extraction/granular-computing/Crashes/intrees/models_cache//model_1fa955a225eb0dbcfa407bea3d4730da722b9697998ff4b27271888cff3ebd3a.jld2,45.8,72.9,27.1,7.15,36.07,0.4360301587301587,1.6036565624230064,6.15
DL,/home/lele7x/results9/rule-extraction/granular-computing/Crashes/intrees/models_cache//model_1fa955a225eb0dbcfa407bea3d4730da722b9697998ff4b27271888cff3ebd3a.jld2,39.99999999999999,70.0,30.0,7.0,28.0,0.3333333333333333,1.6002274866192192,NaN
DF,/home/lele7x/results9/rule-extraction/granular-computing/Crashes/intrees/models_cache//model_4ee71894f23783e2edce060179b963b45cadf4a4f9ffbfed51b1cea0927002d5.jld2,80.0,90.0,10.0,NaN,NaN,NaN,NaN,610.0
ADT,/home/lele7x/results9/rule-extraction/granular-computing/Crashes/intrees/models_cache//model_4ee71894f23783e2edce060179b963b45cadf4a4f9ffbfed51b1cea0927002d5.jld2,50.9,75.45,24.55,7.1,35.96,0.42645892857142864,1.6005608818957966,6.1
DL,/home/lele7x/results9/rule-extraction/granular-computing/Crashes/intrees/models_cache//model_4ee71894f23783e2edce060179b963b45cadf4a4f9ffbfed51b1cea0927002d5.jld2,60.00000000000001,80.0,20.0,7.0,24.0,0.16666666666666666,1.6002274866192192,NaN
DF,/home/lele7x/results9/rule-extraction/granular-computing/Crashes/intrees/models_cache//model_7a351aa8bd8c05676018c5ebe7a3c494199ce36221eb760c79bc102163d35fd5.jld2,70.0,85.0,15.0,NaN,NaN,NaN,NaN,599.0
ADT,/home/lele7x/results9/rule-extraction/granular-computing/Crashes/intrees/models_cache//model_7a351aa8bd8c05676018c5ebe7a3c494199ce36221eb760c79bc102163d35fd5.jld2,41.9,70.95,29.05,6.99,34.01,0.4355880952380952,1.5952151709624764,5.99
DL,/home/lele7x/results9/rule-extraction/granular-computing/Crashes/intrees/models_cache//model_7a351aa8bd8c05676018c5ebe7a3c494199ce36221eb760c79bc102163d35fd5.jld2,50.0,75.0,25.0,5.0,28.0,0.4625,1.4710025398479496,NaN
DF,/home/lele7x/results9/rule-extraction/granular-computing/Crashes/intrees/models_cache//model_0d485c778d7b3557600a264b772d7d63efb13477eb7bde3f80fd490ff7cf5c74.jld2,60.00000000000001,80.0,20.0,NaN,NaN,NaN,NaN,575.0
ADT,/home/lele7x/results9/rule-extraction/granular-computing/Crashes/intrees/models_cache//model_0d485c778d7b3557600a264b772d7d63efb13477eb7bde3f80fd490ff7cf5c74.jld2,46.5,73.25,26.75,6.75,33.41,0.43402896825396825,1.5819130967878197,5.75
DL,/home/lele7x/results9/rule-extraction/granular-computing/Crashes/intrees/models_cache//model_0d485c778d7b3557600a264b772d7d63efb13477eb7bde3f80fd490ff7cf5c74.jld2,39.99999999999999,70.0,30.0,7.0,24.0,0.20833333333333334,1.6002274866192192,NaN
DF,/home/lele7x/results9/rule-extraction/granular-computing/Crashes/intrees/models_cache//model_e226a1762aee4ed589a9b56da44c756e79fb24d723df409a566ac3d9e28069b3.jld2,80.0,90.0,10.0,NaN,NaN,NaN,NaN,624.0
ADT,/home/lele7x/results9/rule-extraction/granular-computing/Crashes/intrees/models_cache//model_e226a1762aee4ed589a9b56da44c756e79fb24d723df409a566ac3d9e28069b3.jld2,45.5,72.75,27.25,7.24,37.24,0.4299646825396826,1.6086548483930314,6.24
DL,/home/lele7x/results9/rule-extraction/granular-computing/Crashes/intrees/models_cache//model_e226a1762aee4ed589a9b56da44c756e79fb24d723df409a566ac3d9e28069b3.jld2,80.0,90.0,10.0,6.0,25.0,0.26,1.543542708224871,NaN
DF,NaN,72.0,86.0,14.0,NaN,NaN,NaN,NaN,603.2
DF std,NaN,7.888106377466152,3.9440531887330774,3.9440531887330774,NaN,NaN,NaN,NaN,19.67400992849873
ADT,NaN,45.199999999999996,72.6,27.4,7.031999999999999,35.188,0.4224113690476191,1.596977897595281,6.032
ADT std,NaN,3.4415758664374145,1.720787933218708,1.7207879332187075,0.19674009928498748,2.0105709526290187,0.014418643971796315,0.011071060488939199,0.19674009928498745
DL,NaN,55.0,77.5,22.5,6.4,25.8,0.27975000000000005,1.5646310805843533,NaN
DL std,NaN,14.337208778404381,7.168604389202189,7.168604389202189,0.6992058987801011,2.898275349237888,0.09569922178044457,0.04330858530298366,NaN
